iter	Passed	Remaining
0	60	5956
1	62	3086
2	66	2148
3	69	1664
4	72	1381
5	75	1185
6	78	1043
7	81	938
8	84	855
9	87	790
10	90	734
11	93	686
12	96	646
13	99	610
14	102	578
15	105	551
16	108	528
17	111	507
18	114	486
19	117	468
20	120	451
21	122	435
22	125	421
23	128	407
24	131	395
25	134	383
26	137	372
27	140	361
28	143	351
29	146	340
30	149	332
31	152	323
32	155	314
33	157	306
34	160	298
35	163	291
36	166	283
37	169	276
38	172	270
39	175	263
40	178	256
41	181	250
42	184	244
43	187	238
44	190	232
45	193	226
46	196	221
47	199	215
48	202	210
49	205	205
50	207	199
51	210	194
52	213	189
53	216	184
54	219	179
55	222	174
56	225	169
57	228	165
58	231	160
59	234	156
60	237	151
61	240	147
62	243	142
63	246	138
64	249	134
65	252	129
66	255	125
67	258	121
68	261	117
69	264	113
70	267	109
71	270	105
72	273	101
73	276	97
74	279	93
75	282	89
76	285	85
77	288	81
78	291	77
79	294	73
80	297	69
81	300	65
82	303	62
83	306	58
84	310	54
85	313	51
86	316	47
87	319	43
88	322	39
89	325	36
90	328	32
91	331	28
92	334	25
93	337	21
94	340	17
95	343	14
96	346	10
97	349	7
98	352	3
99	355	0
